time_s,i_pd_a,a_ref_m_s2
0.000000000e+00,3.016962176e-03,0.000000000e+00
2.000000000e-04,3.016816534e-03,7.366048868e-01
4.000000000e-04,3.016676082e-03,1.456491413e+00
6.000000000e-04,3.016547409e-03,2.143320667e+00
8.000000000e-04,3.016425369e-03,2.781504020e+00
1.000000000e-03,3.016314548e-03,3.356556938e+00
1.200000000e-03,3.016211879e-03,3.855427727e+00
1.400000000e-03,3.016136299e-03,4.266793759e+00
1.600000000e-03,3.016070111e-03,4.581318462e+00
1.800000000e-03,3.016031864e-03,4.791863222e+00
2.000000000e-03,3.016013034e-03,4.893649408e+00
2.200000000e-03,3.016018025e-03,4.884366829e+00
2.400000000e-03,3.016040480e-03,4.764226167e+00
2.600000000e-03,3.016085065e-03,4.535954195e+00
2.800000000e-03,3.016145784e-03,4.204731891e+00
3.000000000e-03,3.016227609e-03,3.778076846e+00
3.200000000e-03,3.016326946e-03,3.265672640e+00
3.400000000e-03,3.016448010e-03,2.679149060e+00
3.600000000e-03,3.016568051e-03,2.031818146e+00
3.800000000e-03,3.016701420e-03,1.338372049e+00
4.000000000e-03,3.016842042e-03,6.145495775e-01
4.200000000e-03,3.016979626e-03,-1.232210252e-01
4.400000000e-03,3.017123146e-03,-8.581949406e-01
4.600000000e-03,3.017259382e-03,-1.573690826e+00
4.800000000e-03,3.017391108e-03,-2.253469420e+00
5.000000000e-03,3.017513598e-03,-2.882102122e+00
5.200000000e-03,3.017622962e-03,-3.445321163e+00
5.400000000e-03,3.017718471e-03,-3.930343436e+00
5.600000000e-03,3.017792067e-03,-4.326160628e+00
5.800000000e-03,3.017845362e-03,-4.623789069e+00
6.000000000e-03,3.017890428e-03,-4.816473634e+00
6.200000000e-03,3.017902717e-03,-4.899841053e+00
6.400000000e-03,3.017896503e-03,-4.871999179e+00
6.600000000e-03,3.017870282e-03,-4.733579924e+00
6.800000000e-03,3.017824007e-03,-4.487724923e+00
7.000000000e-03,3.017757323e-03,-4.140014225e+00
7.200000000e-03,3.017675234e-03,-3.698339651e+00
7.400000000e-03,3.017569543e-03,-3.172725673e+00
7.600000000e-03,3.017458227e-03,-2.575101892e+00
7.800000000e-03,3.017324904e-03,-1.919032285e+00
8.000000000e-03,3.017195828e-03,-1.219407341e+00
8.200000000e-03,3.017051626e-03,-4.921061055e-01
8.400000000e-03,3.016911950e-03,2.463642214e-01
8.600000000e-03,3.016767377e-03,9.792429402e-01
8.800000000e-03,3.016632985e-03,1.689896261e+00
9.000000000e-03,3.016500608e-03,2.362194834e+00
9.200000000e-03,3.016387927e-03,2.980879827e+00
9.400000000e-03,3.016273264e-03,3.531909249e+00
9.600000000e-03,3.016187564e-03,4.002776657e+00
9.800000000e-03,3.016106979e-03,4.382795001e+00
1.000000000e-02,3.016056628e-03,4.663339193e+00
1.020000000e-02,3.016022736e-03,4.838041857e+00
1.040000000e-02,3.016015251e-03,4.902937854e+00
1.060000000e-02,3.016019853e-03,4.856554270e+00
1.080000000e-02,3.016048802e-03,4.699943851e+00
1.100000000e-02,3.016100640e-03,4.436661107e+00
1.120000000e-02,3.016170564e-03,4.072681637e+00
1.140000000e-02,3.016259270e-03,3.616266506e+00
1.160000000e-02,3.016362992e-03,3.077774744e+00
1.180000000e-02,3.016477656e-03,2.469428235e+00
1.200000000e-02,3.016608856e-03,1.805034322e+00
1.220000000e-02,3.016744348e-03,1.099672429e+00
1.240000000e-02,3.016890626e-03,3.693518087e-01
1.260000000e-02,3.017030488e-03,-3.693518087e-01
1.280000000e-02,3.017170893e-03,-1.099672429e+00
1.300000000e-02,3.017305688e-03,-1.805034322e+00
1.320000000e-02,3.017437910e-03,-2.469428235e+00
1.340000000e-02,3.017554666e-03,-3.077774744e+00
1.360000000e-02,3.017653429e-03,-3.616266506e+00
1.380000000e-02,3.017740400e-03,-4.072681637e+00
1.400000000e-02,3.017812989e-03,-4.436661107e+00
1.420000000e-02,3.017865648e-03,-4.699943851e+00
1.440000000e-02,3.017895527e-03,-4.856554270e+00
1.460000000e-02,3.017904841e-03,-4.902937854e+00
1.480000000e-02,3.017890072e-03,-4.838041857e+00
1.500000000e-02,3.017857900e-03,-4.663339193e+00
1.520000000e-02,3.017802513e-03,-4.382795001e+00
1.540000000e-02,3.017730962e-03,-4.002776657e+00
1.560000000e-02,3.017638645e-03,-3.531909249e+00
1.580000000e-02,3.017538440e-03,-2.980879827e+00
1.600000000e-02,3.017416679e-03,-2.362194834e+00
1.620000000e-02,3.017284859e-03,-1.689896261e+00
1.640000000e-02,3.017149522e-03,-9.792429402e-01
1.660000000e-02,3.017006297e-03,-2.463642214e-01
1.680000000e-02,3.016864606e-03,4.921061055e-01
1.700000000e-02,3.016722931e-03,1.219407341e+00
1.720000000e-02,3.016589422e-03,1.919032285e+00
1.740000000e-02,3.016463523e-03,2.575101892e+00
1.760000000e-02,3.016340428e-03,3.172725673e+00
1.780000000e-02,3.016239340e-03,3.698339651e+00
1.800000000e-02,3.016155655e-03,4.140014225e+00
1.820000000e-02,3.016093356e-03,4.487724923e+00
1.840000000e-02,3.016044416e-03,4.733579924e+00
1.860000000e-02,3.016012632e-03,4.871999179e+00
1.880000000e-02,3.016016738e-03,4.899841053e+00
1.900000000e-02,3.016030841e-03,4.816473634e+00
1.920000000e-02,3.016066236e-03,4.623789069e+00
1.940000000e-02,3.016128303e-03,4.326160628e+00
1.960000000e-02,3.016199342e-03,3.930343436e+00
1.980000000e-02,3.016297889e-03,3.445321163e+00
2.000000000e-02,3.016402541e-03,2.882102122e+00
2.020000000e-02,3.016522629e-03,2.253469420e+00
2.040000000e-02,3.016654402e-03,1.573690826e+00
2.060000000e-02,3.016792327e-03,8.581949406e-01
2.080000000e-02,3.016931523e-03,1.232210252e-01
2.100000000e-02,3.017077460e-03,-6.145495775e-01
2.120000000e-02,3.017216346e-03,-1.338372049e+00
2.140000000e-02,3.017350149e-03,-2.031818146e+00
2.160000000e-02,3.017479520e-03,-2.679149060e+00
2.180000000e-02,3.017592076e-03,-3.265672640e+00
2.200000000e-02,3.017689305e-03,-3.778076846e+00
2.220000000e-02,3.017766265e-03,-4.204731891e+00
2.240000000e-02,3.017831787e-03,-4.535954195e+00
2.260000000e-02,3.017878108e-03,-4.764226167e+00
2.280000000e-02,3.017899928e-03,-4.884366829e+00
2.300000000e-02,3.017903585e-03,-4.893649408e+00
2.320000000e-02,3.017880014e-03,-4.791863222e+00
2.340000000e-02,3.017844231e-03,-4.581318462e+00
2.360000000e-02,3.017782335e-03,-4.266793759e+00
2.380000000e-02,3.017699952e-03,-3.855427727e+00
2.400000000e-02,3.017601777e-03,-3.356556938e+00
2.420000000e-02,3.017496660e-03,-2.781504020e+00
2.440000000e-02,3.017373953e-03,-2.143320667e+00
2.460000000e-02,3.017241622e-03,-1.456491413e+00
2.480000000e-02,3.017099606e-03,-7.366048868e-01
2.500000000e-02,3.016961278e-03,-3.602904760e-15
2.520000000e-02,3.016814209e-03,7.366048868e-01
2.540000000e-02,3.016680282e-03,1.456491413e+00
2.560000000e-02,3.016545348e-03,2.143320667e+00
2.580000000e-02,3.016423323e-03,2.781504020e+00
2.600000000e-02,3.016312007e-03,3.356556938e+00
2.620000000e-02,3.016212530e-03,3.855427727e+00
2.640000000e-02,3.016141429e-03,4.266793759e+00
2.660000000e-02,3.016074868e-03,4.581318462e+00
2.680000000e-02,3.016029740e-03,4.791863222e+00
2.700000000e-02,3.016014941e-03,4.893649408e+00
2.720000000e-02,3.016018629e-03,4.884366829e+00
2.740000000e-02,3.016040310e-03,4.764226167e+00
2.760000000e-02,3.016084089e-03,4.535954195e+00
2.780000000e-02,3.016143428e-03,4.204731891e+00
2.800000000e-02,3.016225253e-03,3.778076846e+00
2.820000000e-02,3.016330898e-03,3.265672640e+00
2.840000000e-02,3.016442633e-03,2.679149060e+00
2.860000000e-02,3.016569834e-03,2.031818146e+00
2.880000000e-02,3.016700444e-03,1.338372049e+00
2.900000000e-02,3.016839036e-03,6.145495775e-01
2.920000000e-02,3.016978046e-03,-1.232210252e-01
2.940000000e-02,3.017124649e-03,-8.581949406e-01
2.960000000e-02,3.017260591e-03,-1.573690826e+00
2.980000000e-02,3.017391341e-03,-2.253469420e+00
3.000000000e-02,3.017514342e-03,-2.882102122e+00
3.020000000e-02,3.017619831e-03,-3.445321163e+00
3.040000000e-02,3.017718828e-03,-3.930343436e+00
3.060000000e-02,3.017793912e-03,-4.326160628e+00
3.080000000e-02,3.017849795e-03,-4.623789069e+00
3.100000000e-02,3.017883284e-03,-4.816473634e+00
3.120000000e-02,3.017907320e-03,-4.899841053e+00
3.140000000e-02,3.017895666e-03,-4.871999179e+00
3.160000000e-02,3.017870204e-03,-4.733579924e+00
3.180000000e-02,3.017820350e-03,-4.487724923e+00
3.200000000e-02,3.017757555e-03,-4.140014225e+00
3.220000000e-02,3.017669686e-03,-3.698339651e+00
3.240000000e-02,3.017570752e-03,-3.172725673e+00
3.260000000e-02,3.017454430e-03,-2.575101892e+00
3.280000000e-02,3.017329941e-03,-1.919032285e+00
3.300000000e-02,3.017196463e-03,-1.219407341e+00
